epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,138.988,1.283,1.93688,4.21795,0.01474,2.37578,0.56354,0.55422,0.53304,0.26342,0.37181,0.37558,0.25171,0.07056,1.60862,1.90134,2.81298,0.03353,0,0.000663805,0.000663805,0.000663805
2,243.869,1.42998,1.67619,2.02592,0.01678,1.31031,0.62651,0.59283,0.56043,0.203,0.44787,0.42025,0.31153,0.08331,2.06125,1.50707,1.88545,0.05096,0,0.00126461,0.00126461,0.00126461
3,347.905,1.47691,1.67536,1.55318,0.01758,1.28294,0.59402,0.62249,0.57005,0.26885,0.47299,0.49741,0.38654,0.11378,1.78304,1.32903,1.69538,0.03797,0,0.00179942,0.00179942,0.00179942
4,450.902,1.46708,1.68265,1.4168,0.01732,1.2733,0.62445,0.61446,0.58313,0.27131,0.56155,0.53012,0.45911,0.13094,1.84839,1.3681,1.69552,0.03866,0,0.001703,0.001703,0.001703
5,555.894,1.42675,1.61598,1.31639,0.01652,1.23119,0.64971,0.57831,0.60195,0.28528,0.47423,0.46586,0.39024,0.10181,1.82566,1.40726,1.60352,0.03824,0,0.001604,0.001604,0.001604
6,660.583,1.37084,1.62234,1.26373,0.01572,1.19345,0.64725,0.68273,0.65259,0.3432,0.54064,0.57028,0.47117,0.14261,1.7035,1.30644,1.36396,0.03603,0,0.001505,0.001505,0.001505
7,765.158,1.31399,1.59114,1.1668,0.01479,1.20083,0.78244,0.66442,0.73142,0.43848,0.6108,0.5502,0.50593,0.17135,1.48334,1.32953,1.29157,0.03014,0,0.001406,0.001406,0.001406
8,869.588,1.2699,1.57707,1.1757,0.01394,1.16701,0.67923,0.73985,0.69598,0.43246,0.56927,0.62102,0.51185,0.15614,1.49747,1.33492,1.29185,0.03185,0,0.001307,0.001307,0.001307
9,972.215,1.26253,1.55191,1.12499,0.01355,1.17401,0.70831,0.64257,0.68871,0.37387,0.59814,0.5502,0.5367,0.18105,1.73492,1.2632,1.28419,0.03128,0,0.001208,0.001208,0.001208
10,1075.99,1.20887,1.52559,1.08015,0.01299,1.13227,0.75291,0.70281,0.74933,0.47191,0.67032,0.61044,0.55881,0.15924,1.38448,1.33941,1.21518,0.02828,0,0.001109,0.001109,0.001109
11,1177.47,1.26549,1.18393,1.11138,0.02368,1.0526,0.79051,0.66667,0.74491,0.47596,0.70003,0.59036,0.59718,0.1903,1.44426,1.2983,1.14733,0.0301,0,0.00101,0.00101,0.00101
12,1274.28,1.15716,1.1478,1.04009,0.02106,1.03538,0.85502,0.72289,0.77882,0.51706,0.68734,0.61801,0.58219,0.19819,1.27723,1.36383,1.12712,0.0256,0,0.000911,0.000911,0.000911
13,1371.54,1.08728,1.15187,0.98835,0.01829,1.01805,0.77559,0.73494,0.76593,0.53849,0.68659,0.6506,0.58875,0.18213,1.24153,1.33303,1.04574,0.02349,0,0.000812,0.000812,0.000812
14,1469.91,1.06367,1.13566,0.91967,0.01769,1.01883,0.84443,0.67576,0.76516,0.54328,0.76977,0.61847,0.62997,0.21009,1.22083,1.29824,1.07707,0.02214,0,0.000713,0.000713,0.000713
15,1567.68,1.01525,1.11334,0.8946,0.01648,0.99703,0.83428,0.66265,0.76499,0.55951,0.76978,0.60643,0.64694,0.20685,1.14221,1.28452,1.04534,0.02107,0,0.000614,0.000614,0.000614
16,1665.4,0.98428,1.10796,0.8687,0.01618,0.99259,0.8031,0.73494,0.77245,0.57307,0.71326,0.65462,0.63151,0.21611,1.14238,1.32445,0.99211,0.02208,0,0.000515,0.000515,0.000515
17,1762.75,0.91914,1.09771,0.86185,0.01457,0.97982,0.83467,0.69478,0.78032,0.59005,0.74143,0.61847,0.65144,0.21362,1.08481,1.3258,0.98209,0.01929,0,0.000416,0.000416,0.000416
18,1859.26,0.89369,1.06791,0.8211,0.01401,0.97692,0.86198,0.7023,0.78035,0.59835,0.76081,0.62595,0.63593,0.21848,1.04395,1.28565,0.93046,0.01746,0,0.000317,0.000317,0.000317
19,1955.89,0.88077,1.07738,0.80241,0.01365,0.96857,0.84423,0.71084,0.78052,0.60196,0.74306,0.65462,0.66015,0.22433,1.0593,1.27781,0.95858,0.01811,0,0.000218,0.000218,0.000218
20,2053.31,0.84206,1.06493,0.76806,0.01279,0.95643,0.84082,0.71486,0.78391,0.61221,0.7746,0.65462,0.67857,0.22943,1.03323,1.28152,0.9403,0.01741,0,0.000119,0.000119,0.000119
